JoeyGomez,135.0,68.0,75,6.0,2.0,0,0
JamesMoontasri,155.0,70.0,74,8.0,3.0,0,0
KevinLee,155.0,69.0,76,11.0,1.0,0,0
BrettJohns,135.0,67.0,71.0,14.0,0.0,0,0
AlbertMorales,135.0,69.0,71,7.0,2.0,0,0
RyanBader,205.0,74.0,74.0,21.0,5.0,0,0
AnthonyJohnson,205.0,74.0,78.0,21.0,5.0,0,0
RaniYahya,145.0,66.0,68.0,21.0,8.0,0,0
MasanoriKanehara,135.0,70.0,74,24.0,12.0,0,0
KrzysztofJotko,185.0,73.0,70,14.0,0.0,0,0
BrunoSantos,185.0,69.0,73,13.0,1.0,0,0
RoanCarneiro,185.0,69.0,76.0,21.0,10.0,0,0
KennyRobertson,170.0,70.0,74.0,15.0,5.0,0,0
ChrisBeal,135.0,67.0,70,10.0,0.0,0,0
TatekiMatsuda,135.0,67.0,76,10.0,6.0,0,0
NickRing,185.0,72.0,74.0,13.0,3.0,0,0
CaioMagalhaes,185.0,73.0,73,7.0,1.0,0,0
KyojiHoriguchi,125.0,65.0,75,15.0,2.0,0,0
DemetriousJohnson,125.0,63.0,66.0,22.0,2.0,0,0
KonstantinErokhin,233.0,71.0,77,9.0,3.0,0,0
GabrielGonzaga,242.0,74.0,76.0,17.0,10.0,0,0
MattBrown,170.0,72.0,76.0,19.0,12.0,0,0
RobbieLawler,170.0,71.0,74.0,24.0,10.0,0,0
IonCutelaba,205.0,73.0,74,13.0,3.0,0,0
LuizHenriquedaSilva,205.0,72.0,71,12.0,3.0,0,0
ThiagoSantos,185.0,72.0,68,14.0,5.0,0,0
JackMarshman,185.0,72.0,69,21.0,6.0,0,0
MichaelJohnson,155.0,71.0,74.0,15.0,8.0,0,0
EdsonBarboza,155.0,71.0,75.0,15.0,2.0,0,0
AnthonySmith,185.0,76.0,77.0,25.0,12.0,0,0
CezarFerreira,185.0,73.0,71,11.0,5.0,0,0
MairbeckTaisumov,155.0,69.0,67,20.0,4.0,0,0
TaeHyunBang,155.0,69.0,72,16.0,8.0,0,0
IsaacVallie-Flagg,155.0,68.0,67,14.0,6.0,0,0
MattWiman,155.0,70.0,68.0,16.0,7.0,0,0
MarcinHeld,155.0,69.0,76,22.0,6.0,0,0
JoeLauzon,155.0,70.0,70.0,27.0,13.0,0,0
JobySanchez,125.0,66.0,71,7.0,2.0,0,0
GeaneHerrera,125.0,65.0,73,9.0,1.0,0,0
AlanPatrick,155.0,71.0,67,13.0,1.0,0,0
DamienBrown,155.0,70.0,70.0,15.0,9.0,0,0
PatrickCote,170.0,71.0,75.0,19.0,8.0,0,0
KyleNoke,170.0,74.0,76.0,20.0,6.0,0,0
OmariAkhmedov,170.0,72.0,70,14.0,2.0,0,0
MatsNilsson,185.0,73.0,75,11.0,4.0,0,0
AlanJouban,170.0,72.0,72,12.0,3.0,0,0
MattDwyer,170.0,76.0,70,8.0,3.0,0,0
HectorLombard,170.0,69.0,71.0,34.0,7.0,0,0
JohnyHendricks,170.0,69.0,69.0,18.0,6.0,0,0
SergioMoraes,170.0,72.0,73,8.0,2.0,0,0
DrewDober,170.0,68.0,76,13.0,5.0,0,0
SamAlvey,185.0,74.0,76,23.0,6.0,0,0
CezarFerreira,185.0,73.0,70,8.0,3.0,0,0
AlexisDavis,135.0,66.0,77,17.0,7.0,0,0
SaraMcMann,135.0,66.0,71,11.0,3.0,0,0
MattDwyer,170.0,76.0,76,7.0,2.0,0,0
AlbertTumenov,170.0,71.0,77,14.0,2.0,0,0
JoeLauzon,155.0,70.0,70.0,25.0,12.0,0,0
EvanDunham,155.0,70.0,70.0,17.0,6.0,0,0
StevieRay,155.0,70.0,70.0,21.0,7.0,0,0
PaulFelder,155.0,70.0,73,14.0,3.0,0,0
DavidMichaud,170.0,69.0,72,7.0,1.0,0,0
JingliangLi,170.0,72.0,67,9.0,2.0,0,0
JanBlachowicz,205.0,74.0,76,19.0,7.0,0,0
DevinClark,205.0,72.0,75,8.0,1.0,0,0
ChrisKelades,125.0,67.0,75,9.0,2.0,0,0
ChrisBeal,135.0,67.0,67,10.0,2.0,0,0
FrankiePerez,155.0,71.0,70,10.0,2.0,0,0
SamStout,155.0,69.0,70.0,21.0,12.0,0,0
GunnarNelson,170.0,71.0,75,16.0,3.0,0,0
SantiagoPonzinibbio,170.0,72.0,76,25.0,3.0,0,0
ArtemLobov,155.0,69.0,67,12.0,12.0,0,0
RyanHall,155.0,70.0,71.0,5.0,1.0,0,0
CoryHendricks,205.0,72.0,71,3.0,1.0,0,0
JoshStansbury,205.0,74.0,73,8.0,3.0,0,0
FelipeArantes,145.0,68.0,74,17.0,7.0,0,0
YvesJabouin,135.0,66.0,68.0,20.0,11.0,0,0
NateMarquardt,185.0,72.0,74.0,36.0,15.0,0,0
KelvinGastelum,170.0,69.0,73,12.0,1.0,0,0
RobFont,135.0,68.0,70,13.0,2.0,0,0
MattSchnell,125.0,68.0,71,10.0,3.0,0,0
RamazanEmeev,185.0,70.0,70,15.0,3.0,0,0
TrevorSmith,185.0,75.0,67,15.0,7.0,0,0
AugustoMendes,145.0,66.0,67.0,6.0,2.0,0,0
AljamainSterling,135.0,67.0,70,14.0,2.0,0,0
GabrielBenitez,145.0,68.0,73,19.0,6.0,0,0
SamSicilia,145.0,68.0,75,15.0,7.0,0,0
AnthonySmith,185.0,76.0,77.0,27.0,12.0,0,0
AndrewSanchez,205.0,72.0,68,10.0,3.0,0,0
JaredCannonier,265.0,75.0,75,9.0,2.0,0,0
IonCutelaba,205.0,73.0,76,12.0,3.0,0,0
ReginaldoVieira,135.0,67.0,68,14.0,5.0,0,0
AiemannZahabi,135.0,68.0,74,7.0,0.0,0,0
JamesTe-Huna,205.0,74.0,75.0,18.0,9.0,0,0
SteveBosse,205.0,71.0,77,11.0,2.0,0,0
WalterHarris,255.0,76.0,68,9.0,5.0,0,0
ChaseSherman,252.0,76.0,73,9.0,3.0,0,0
JakeEllenberger,170.0,70.0,73.0,29.0,7.0,0,0
HyunGyuLim,170.0,75.0,76,12.0,4.0,0,0
SeanSoriano,145.0,69.0,73,8.0,2.0,0,0
ChasSkelly,145.0,71.0,77,13.0,1.0,0,0
FernandoBruno,155.0,66.0,67,16.0,4.0,0,0
GrayMaynard,155.0,68.0,70.0,13.0,6.0,0,0
AntonioRogerioNogueira,205.0,74.0,75.0,21.0,6.0,0,0
AnthonyJohnson,205.0,74.0,78.0,18.0,4.0,0,0
ChrisClements,170.0,70.0,70.0,12.0,6.0,0,0
NordineTaleb,185.0,73.0,67,11.0,2.0,0,0
AndreasStahl,170.0,0.0,76,9.0,1.0,0,0
GilbertBurns,170.0,70.0,72,8.0,0.0,0,0
